ip,anonblock,proxy,vpn,cdn,public-wifi,rangeblock,school-block,tor,webhost
3.0.0.0/16,False,True,False,False,False,False,False,False,True
3.1.0.0/16,False,True,False,False,False,False,False,False,True
3.2.0.0/22,False,True,False,False,False,False,False,False,True
3.2.4.0/23,False,True,False,False,False,False,False,False,True
3.2.8.0/21,False,True,False,False,False,False,False,False,True
3.2.37.128/25,False,True,False,False,False,False,False,False,True
3.2.48.0/21,False,True,False,False,False,False,False,False,True
3.2.56.0/22,False,True,False,False,False,False,False,False,True
3.2.60.0/23,False,True,False,False,False,False,False,False,True
3.2.64.0/18,False,True,False,False,False,False,False,False,True
3.3.0.0/23,False,True,False,False,False,False,False,False,True
3.3.2.0/24,False,True,False,False,False,False,False,False,True
3.3.3.0/24,False,False,True,False,False,False,False,False,False
3.3.5.0/24,False,True,False,False,False,False,False,False,True
3.3.6.0/23,False,True,False,False,False,False,False,False,True
3.3.8.0/21,False,True,False,False,False,False,False,False,False
3.3.16.0/20,False,True,False,False,False,False,False,False,True
3.3.32.0/23,False,True,False,False,False,False,False,False,True
3.4.0.0/22,False,True,False,False,False,False,False,False,True
3.4.4.0/24,False,True,False,False,False,False,False,False,True
3.4.6.0/24,False,True,False,False,False,False,False,False,True
3.4.8.0/22,False,True,False,False,False,False,False,False,True
3.4.12.1/32,False,True,False,False,False,False,False,False,True
3.4.12.2/31,False,True,False,False,False,False,False,False,True
3.4.12.4/31,False,True,False,False,False,False,False,False,True
3.4.12.6/32,False,True,False,False,False,False,False,False,True
3.4.12.11/32,False,True,False,False,False,False,False,False,True
3.4.12.12/32,False,True,False,False,False,False,False,False,True
3.4.12.15/32,False,True,False,False,False,False,False,False,True
3.4.12.16/28,False,True,False,False,False,False,False,False,True
3.4.12.32/29,False,True,False,False,False,False,False,False,True
3.4.12.40/30,False,True,False,False,False,False,False,False,True
3.4.12.44/31,False,True,False,False,False,False,False,False,True
3.4.12.46/32,False,True,False,False,False,False,False,False,True
3.4.12.46,False,False,False,False,False,False,False,False,True
3.4.12.49/32,False,True,False,False,False,False,False,False,True
3.4.12.50/31,False,True,False,False,False,False,False,False,True
3.4.12.52/30,False,True,False,False,False,False,False,False,True
3.4.12.56/29,False,True,False,False,False,False,False,False,False
3.4.12.64/28,False,True,False,False,False,False,False,False,False
3.4.12.80/30,False,True,False,False,False,False,False,False,False
3.4.12.84/32,False,True,False,False,False,False,False,False,False
3.4.13.0/26,False,True,False,False,False,False,False,False,True
3.4.13.64/27,False,True,False,False,False,False,False,False,True
3.4.14.0/27,False,True,False,False,False,False,False,False,False
3.4.14.32/29,False,True,False,False,False,False,False,False,False
3.4.15.0/25,False,True,False,False,False,False,False,False,True
3.4.15.128/28,False,True,False,False,False,False,False,False,True
3.4.15.152/29,False,True,False,False,False,False,False,False,True
3.4.15.160/27,False,True,False,False,False,False,False,False,True
3.4.15.192/26,False,True,False,False,False,False,False,False,False
3.4.16.0/20,False,True,False,False,False,False,False,False,True
3.4.32.0/20,False,True,False,False,False,False,False,False,True
3.5.0.0/18,False,True,False,False,False,False,False,False,True
3.5.64.0/19,False,True,False,False,False,False,False,False,True
3.5.96.0/20,False,True,False,False,False,False,False,False,False
3.5.120.0/22,False,True,False,False,False,False,False,False,False
3.5.126.0/23,False,True,False,False,False,False,False,False,False
3.5.128.0/19,False,True,False,False,False,False,False,False,True
3.5.160.0/21,False,True,False,False,False,False,False,False,True
3.5.168.0/23,False,True,False,False,False,False,False,False,True
3.5.172.0/22,False,True,False,False,False,False,False,False,True
3.5.180.0/22,False,True,False,False,False,False,False,False,True
3.5.184.0/21,False,True,False,False,False,False,False,False,True
3.5.192.0/21,False,True,False,False,False,False,False,False,True
3.5.202.0/23,False,True,False,False,False,False,False,False,True
3.5.204.0/22,False,True,False,False,False,False,False,False,True
3.5.208.0/20,False,True,False,False,False,False,False,False,True
3.5.224.0/19,False,True,False,False,False,False,False,False,True
3.6.0.0/16,False,True,True,False,False,False,False,False,True
3.7.0.0/16,False,True,False,False,False,False,False,False,True
3.8.0.0/16,False,True,False,False,False,False,False,False,True
3.9.0.0/16,False,True,False,False,False,False,False,False,True
3.10.0.0/16,False,True,False,False,False,False,False,False,True
3.11.0.0/16,False,True,False,False,False,False,False,False,True
3.12.0.0/16,False,True,False,False,False,False,False,False,False
3.13.0.0/16,False,True,False,False,False,False,False,False,True
3.14.0.0/16,False,True,False,False,False,False,False,False,True
3.15.0.0/16,False,True,False,False,False,False,False,False,True
3.16.0.0/16,False,True,False,False,False,False,False,False,True
3.17.0.0/16,False,True,False,False,False,False,False,False,True
3.18.0.0/16,False,True,False,False,False,False,False,False,True
3.19.0.0/16,False,True,False,False,False,False,False,False,True
3.20.0.0/16,False,True,False,False,False,False,False,False,True
3.21.0.0/16,False,True,False,False,False,False,False,False,True
3.22.0.0/16,False,True,False,False,False,False,False,False,True
3.23.0.0/16,False,True,False,False,False,False,False,False,True
3.24.0.0/16,False,True,False,False,False,False,False,False,True
3.25.0.0/16,False,True,False,False,False,False,False,False,True
3.26.0.0/16,False,True,False,False,False,False,False,False,True
3.27.0.0/16,False,True,False,False,False,False,False,False,True
3.28.0.0/16,False,True,False,False,False,False,False,False,True
3.29.0.0/16,False,True,False,False,False,False,False,False,True
3.30.0.0/16,False,True,False,False,False,False,False,False,True
3.31.0.0/16,False,True,False,False,False,False,False,False,True
